	Error in Precision	Error in Recall
1	0.238095238	0.25
2	0.236764706	0.250793651
3	0.167982456	0.190277778
4	0.136904762	0.153497942
5	0.120925926	0.13037037
6	0.080185185	0.089259259
7	0.065925926	0.072407407
8	0.033888889	0.036111111
9	0.027407407	0.032777778
10	0.022222222	0.027962963
11	0.008888889	0.012777778
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
