	Error in precision	Error in recall
1	0.228571429	0.406203288
2	0.40566108	0.405509289
3	0.405073545	0.333290626
4	0.332857549	0.333290626
5	0.332545429	0.34103139
6	0.340224957	0.30990284
7	0.309092886	0.303072579
8	0.302187016	0.296611858
9	0.295653616	0.263472845
10	0.262618336	0.257339312
11	0.256447434	0.217583458
12	0.216913303	0.210323866
13	0.209601395	0.185062282
14	0.18441704	0.185062282
15	0.184359741	0.177633284
16	0.177007972	0.142326856
17	0.141716492	0.136193323
18	0.13562282	0.118081714
19	0.117463876	0.102311908
20	0.101880917	0.092521176
21	0.09204285	0.082491281
22	0.082065272	0.076425012
23	0.076023916	0.076425012
24	0.076028899	0.076425012
25	0.07601146	0.076425012
26	0.07601146	0.076425012
27	0.075979073	0.066477329
28	0.066071251	0.066477329
29	0.06603139	0.066477329
30	0.066003986	0.066477329
31	0.065984056	0.057972098
32	0.057603388	0.051756353
33	0.051347783	0.051756353
34	0.051332835	0.045612855
35	0.045159442	0.029857997
36	0.029618834	0.020067265
37	0.019917788	0.020067265
38	0.019895366	0.020067265
39	0.019880419	0.020067265
40	0.019857997	0.020067265
41	0.019857997	0.020067265
42	0.019850523	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
