	Error in Precision	Error in recall
1	0.255813953	0.266666667
2	0.24125	0.243055556
3	0.221505376	0.217063492
4	0.180833333	0.197222222
5	0.174444444	0.189722222
6	0.152638889	0.162638889
7	0.12843254	0.137361111
8	0.118968254	0.129305556
9	0.119801587	0.128194444
10	0.117281746	0.1275
11	0.118988095	0.1275
12	0.121071429	0.124583333
13	0.118571429	0.117083333
14	0.115575397	0.113055556
15	0.109666005	0.11
16	0.099765212	0.096845238
17	0.095446429	0.091984127
18	0.090800866	0.090625
19	0.085611472	0.086028439
20	0.082344854	0.082324735
21	0.080332815	0.081526575
22	0.077531889	0.079975649
23	0.074607337	0.079417989
24	0.075559348	0.079279101
25	0.077623025	0.081825397
26	0.076073036	0.080304649
27	0.071688706	0.078250661
28	0.066759444	0.073816138
29	0.068304814	0.074464286
30	0.069388887	0.075600649
31	0.066145179	0.073703704
32	0.063694059	0.072290904
33	0.059162253	0.068200068
34	0.057572164	0.06304873
35	0.058085886	0.062480548
36	0.057745224	0.06173852
37	0.056987016	0.061564909
38	0.054961543	0.059881654
39	0.053716917	0.059676312
40	0.052312257	0.056282385
41	0.052422511	0.057131739
42	0.049746016	0.056625067
43	0.049563541	0.055023237
44	0.048599023	0.053530354
45	0.048201389	0.053450989
46	0.048022025	0.053414914
47	0.044397878	0.05248267
48	0.041343087	0.04915091
49	0.040544434	0.048109243
50	0.041577018	0.04915091
51	0.038824994	0.045034626
52	0.038297156	0.042450821
53	0.036715048	0.041787905
54	0.037044272	0.043342901
55	0.038235635	0.042527116
56	0.037337896	0.041744288
57	0.036856815	0.041660154
58	0.036633487	0.041005392
59	0.035023017	0.043293854
60	0.035531875	0.044704983
61	0.035215411	0.04481724
62	0.035553374	0.044980583
63	0.0348439	0.042732457
64	0.034938611	0.042441215
65	0.032988897	0.04283107
66	0.033140305	0.042470876
67	0.03194333	0.041482589
68	0.030931935	0.040329252
69	0.031009127	0.041182297
70	0.031198771	0.039862224
71	0.03131379	0.038919013
72	0.031002627	0.039393461
73	0.029584753	0.037994133
74	0.030120592	0.037733917
75	0.030640712	0.03838427
76	0.029317548	0.03630231
77	0.028244513	0.034163749
78	0.027057562	0.03336165
79	0.026909685	0.032856182
80	0.025812644	0.032815664
81	0.026120582	0.032601318
82	0.025851923	0.031608935
83	0.025327717	0.032043
84	0.025070369	0.031673605
85	0.023874816	0.031528487
86	0.023441116	0.030053835
87	0.024160072	0.030218572
88	0.023823732	0.029543329
89	0.023064872	0.030184376
90	0.021512571	0.029348673
91	0.021184917	0.028841335
92	0.021221492	0.029090136
93	0.021586414	0.028558142
94	0.022372501	0.028996644
95	0.022029825	0.028757181
96	0.022225859	0.028144329
97	0.021122533	0.027416632
98	0.021206398	0.027870232
99	0.020155615	0.027072835
100	0.019558554	0.025756537
101	0.019381232	0.025758887
102	0.01874236	0.024478344
103	0.01941334	0.023951172
104	0.019007067	0.023276507
105	0.018717327	0.022390339
106	0.016772025	0.020233816
107	0.016967153	0.020060619
108	0.015214574	0.018582618
109	0.014901661	0.017925425
110	0.014521413	0.018048707
111	0.013838672	0.017355924
112	0.013941259	0.016902162
113	0.012540665	0.016268191
114	0.011821324	0.015101975
115	0.011198355	0.014611448
116	0.010759789	0.014014381
117	0.010860165	0.012689544
118	0.010993123	0.012424485
119	0.010905942	0.012001023
120	0.010342255	0.011860556
121	0.009611674	0.011777491
122	0.008678159	0.010541307
123	0.008022658	0.010344409
124	0.006892864	0.009226847
125	0.005845521	0.008361751
126	0.005694898	0.008280625
127	0.005320684	0.007650002
128	0.005348763	0.007486615
129	0.005128774	0.007046743
130	0.005458649	0.007041985
131	0.005179465	0.006497768
132	0.004723712	0.006206456
133	0.003687199	0.005446913
134	0.003181657	0.004671237
135	0.00300583	0.004671237
136	0.002830002	0.003790879
137	0.002587565	0.003536485
138	0.002040513	0.002842749
139	0.001608122	0.002227875
140	0.001385527	0.00177305
141	0.001416585	0.00177305
142	0.001379029	0.001753842
143	0.001345015	0.001753842
144	0.001094813	0.001354167
145	0.000820578	0.001378968
146	0.000752551	0.001378968
147	0.000136054	0.00047619
148	0	0
149	0	0
150	0	0
