	k = 1	k = 2	k = 3
1	3	1	3
2	3	4	6
3	5	5	7
4	5	9	10
5	6	10	10
6	7	10	10
7	7	10	10
8	7	10	10
9	7	10	10
10	7	10	10
11	7	10	10
12	7	10	10
13	7	10	10
14	7	10	10
15	9	10	10
16	9	10	10
17	9	10	10
18	9	10	10
19	9	10	10
20	9	10	10
21	9	10	10
22	9	10	10
23	9	10	10
24	9	10	10
25	9	10	10
26	9	10	10
27	9	10	10
28	9	10	10
29	9	10	10
30	9	10	10
31	9	10	10
32	9	10	10
33	9	10	10
34	9	10	10
35	9	10	10
36	9	10	10
37	9	10	10
38	9	10	10
39	9	10	10
40	9	10	10
41	9	10	10
42	9	10	10
43	9	10	10
44	9	10	10
45	9	10	10
46	10	10	10
47	10	10	10
48	10	10	10
49	10	10	10
50	10	10	10
51	10	10	10
52	10	10	10
53	10	10	10
54	10	10	10
55	10	10	10
56	10	10	10
57	10	10	10
58	10	10	10
59	10	10	10
60	10	10	10
61	10	10	10
62	10	10	10
63	10	10	10
64	10	10	10
65	10	10	10
66	10	10	10
67	10	10	10
68	10	10	10
69	10	10	10
70	10	10	10
71	10	10	10
72	10	10	10
73	10	10	10
74	10	10	10
75	10	10	10
76	10	10	10
77	10	10	10
78	10	10	10
79	10	10	10
80	10	10	10
81	10	10	10
82	10	10	10
83	10	10	10
84	10	10	10
85	10	10	10
86	10	10	10
87	10	10	10
88	10	10	10
89	10	10	10
90	10	10	10
91	10	10	10
92	10	10	10
93	10	10	10
94	10	10	10
95	10	10	10
96	10	10	10
97	10	10	10
98	10	10	10
99	10	10	10
100	10	10	10
101	10	10	10
102	10	10	10
103	10	10	10
104	10	10	10
105	10	10	10
106	10	10	10
107	10	10	10
108	10	10	10
109	10	10	10
110	10	10	10
111	10	10	10
112	10	10	10
113	10	10	10
114	10	10	10
115	10	10	10
116	10	10	10
117	10	10	10
118	10	10	10
119	10	10	10
120	10	10	10
121	10	10	10
122	10	10	10
123	10	10	10
124	10	10	10
125	10	10	10
126	10	10	10
127	10	10	10
128	10	10	10
129	10	10	10
130	10	10	10
131	10	10	10
132	10	10	10
133	10	10	10
134	10	10	10
135	10	10	10
136	10	10	10
137	10	10	10
138	10	10	10
139	10	10	10
140	10	10	10
141	10	10	10
142	10	10	10
143	10	10	10
144	10	10	10
145	10	10	10
146	10	10	10
147	10	10	10
148	10	10	10
149	10	10	10
