	k = 1	k = 2	k = 3
1	NaN	NaN	7
2	NaN	NaN	9
3	1	2	9
4	1	2	10
5	1	2	10
6	1	2	10
7	1	2	10
8	1	2	10
9	1	2	10
10	1	2	10
11	2	3	10
12	2	3	10
13	2	3	10
14	2	3	10
15	2	3	10
16	2	3	10
17	2	3	10
18	2	3	10
19	2	3	10
20	3	4	10
21	2	3	10
22	4	5	10
23	3	5	10
24	3	6	9
25	3	6	10
26	3	6	9
27	3	6	10
28	4	7	10
29	4	7	10
30	3	6	10
31	3	6	10
32	3	6	10
33	3	6	10
34	3	6	10
35	3	6	10
36	4	7	10
37	3	6	10
38	3	6	10
39	4	7	10
40	4	7	10
41	5	8	10
42	5	8	10
43	5	8	10
44	5	8	10
45	6	9	10
46	7	9	10
47	7	9	10
48	8	9	10
49	8	9	10
50	8	9	10
51	8	9	10
52	8	9	10
53	8	9	10
54	8	9	10
55	8	9	10
56	8	9	10
57	8	9	10
58	8	9	10
59	8	8	10
60	8	8	10
61	8	8	10
62	8	9	10
63	8	9	10
64	8	9	10
65	8	9	10
66	9	9	10
67	9	9	10
68	9	9	10
69	9	9	10
70	9	9	10
71	9	9	10
72	9	9	10
73	9	9	10
74	9	9	10
75	9	9	10
76	9	9	10
77	9	9	10
78	9	9	10
79	9	9	10
80	9	10	10
81	9	10	10
82	9	10	10
83	9	10	10
84	9	10	10
85	9	10	10
86	9	10	10
87	9	10	10
88	9	10	10
89	9	10	10
90	9	10	10
91	9	10	10
92	9	10	10
93	9	10	10
94	9	10	10
95	9	10	10
96	9	10	10
97	9	10	10
98	9	10	10
99	10	10	10
100	10	10	10
101	10	10	10
102	10	10	10
103	10	10	10
104	10	10	10
105	10	10	10
106	10	10	10
107	10	10	10
108	10	10	10
109	10	10	10
110	10	10	10
111	10	10	10
112	10	10	10
113	10	10	10
114	10	10	10
115	10	10	10
116	10	10	10
117	10	10	10
118	10	10	10
119	10	10	10
120	10	10	10
121	10	10	10
122	10	10	10
123	10	10	10
124	10	10	10
125	10	10	10
126	10	10	10
127	10	10	10
128	10	10	10
129	10	10	10
130	10	10	10
131	10	10	10
132	10	10	10
133	10	10	10
134	10	10	10
135	10	10	10
136	10	10	10
137	10	10	10
138	10	10	10
139	10	10	10
140	10	10	10
141	10	10	10
142	10	10	10
143	10	10	10
144	10	10	10
145	10	10	10
146	10	10	10
147	10	10	10
148	10	10	10
149	10	10	10
150	10	10	10
151	10	10	10
152	10	10	10
153	10	10	10
154	10	10	10
155	10	10	10
156	10	10	10
157	10	10	10
158	10	10	10
159	10	10	10
160	10	10	10
161	10	10	10
162	10	10	10
163	10	10	10
164	10	10	10
165	10	10	10
166	10	10	10
167	10	10	10
168	10	10	10
169	10	10	10
170	10	10	10
171	10	10	10
172	10	10	10
173	10	10	10
174	10	10	10
175	10	10	10
176	10	10	10
177	10	10	10
178	10	10	10
179	10	10	10
180	10	10	10
181	10	10	10
182	10	10	10
183	10	10	10
184	10	10	10
185	10	10	10
186	10	10	10
187	10	10	10
188	10	10	10
189	10	10	10
190	10	10	10
191	10	10	10
192	10	10	10
193	10	10	10
194	10	10	10
195	10	10	10
196	10	10	10
197	10	10	10
