	d1	d2	d3	d4
1	0.25	0.406203288	0.266666667	0.336776557
2	0.250793651	0.405509289	0.243055556	0.310712251
3	0.190277778	0.333290626	0.217063492	0.278773029
4	0.153497942	0.333290626	0.197222222	0.250752137
5	0.13037037	0.34103139	0.189722222	0.230305983
6	0.089259259	0.30990284	0.162638889	0.190073504
7	0.072407407	0.303072579	0.137361111	0.174697436
8	0.036111111	0.296611858	0.129305556	0.166500855
9	0.032777778	0.263472845	0.128194444	0.162529915
10	0.027962963	0.257339312	0.1275	0.157840781
11	0.012777778	0.217583458	0.1275	0.149957265
12	0	0.210323866	0.124583333	0.139744322
13	0	0.185062282	0.117083333	0.124180342
14	0	0.185062282	0.113055556	0.117044648
15	0	0.177633284	0.11	0.111791309
16	0	0.142326856	0.096845238	0.110786669
17	0	0.136193323	0.091984127	0.106700285
18	0	0.118081714	0.090625	0.103300958
19	0	0.102311908	0.086028439	0.100958364
20	0	0.092521176	0.082324735	0.097519902
21	0	0.082491281	0.081526575	0.094922145
22	0	0.076425012	0.079975649	0.091308081
23	0	0.076425012	0.079417989	0.086725608
24	0	0.076425012	0.079279101	0.082797296
25	0	0.076425012	0.081825397	0.080382654
26	0	0.076425012	0.080304649	0.078063584
27	0	0.066477329	0.078250661	0.076867733
28	0	0.066477329	0.073816138	0.075107349
29	0	0.066477329	0.074464286	0.073487618
30	0	0.066477329	0.075600649	0.07305172
31	0	0.057972098	0.073703704	0.071816983
32	0	0.051756353	0.072290904	0.070598145
33	0	0.051756353	0.068200068	0.069874633
34	0	0.045612855	0.06304873	0.068031551
35	0	0.029857997	0.062480548	0.066393786
36	0	0.020067265	0.06173852	0.065487583
37	0	0.020067265	0.061564909	0.063137963
38	0	0.020067265	0.059881654	0.062152112
39	0	0.020067265	0.059676312	0.060431689
40	0	0.020067265	0.056282385	0.059445405
41	0	0.020067265	0.057131739	0.057992241
42	0	0	0.056625067	0.0562748
43	0	0	0.055023237	0.055174646
44	0	0	0.053530354	0.05500687
45	0	0	0.053450989	0.054442302
46	0	0	0.053414914	0.053000471
47	0	0	0.05248267	0.051789551
48	0	0	0.04915091	0.050538351
49	0	0	0.048109243	0.049558689
50	0	0	0.04915091	0.048743422
51	0	0	0.045034626	0.047819938
52	0	0	0.042450821	0.046720887
53	0	0	0.041787905	0.046298262
54	0	0	0.043342901	0.045926876
55	0	0	0.042527116	0.044657654
56	0	0	0.041744288	0.043986771
57	0	0	0.041660154	0.042772873
58	0	0	0.041005392	0.041684481
59	0	0	0.043293854	0.041241771
60	0	0	0.044704983	0.039967629
61	0	0	0.04481724	0.039200453
62	0	0	0.044980583	0.038251303
63	0	0	0.042732457	0.037086043
64	0	0	0.042441215	0.036763242
65	0	0	0.04283107	0.036425616
66	0	0	0.042470876	0.035745664
67	0	0	0.041482589	0.035074564
68	0	0	0.040329252	0.034753233
69	0	0	0.041182297	0.034438383
70	0	0	0.039862224	0.033598936
71	0	0	0.038919013	0.033050072
72	0	0	0.039393461	0.032437635
73	0	0	0.037994133	0.031369739
74	0	0	0.037733917	0.031017647
75	0	0	0.03838427	0.030381124
76	0	0	0.03630231	0.0296061
77	0	0	0.034163749	0.029321745
78	0	0	0.03336165	0.027697989
79	0	0	0.032856182	0.026923858
80	0	0	0.032815664	0.026267263
81	0	0	0.032601318	0.025194266
82	0	0	0.031608935	0.024012227
83	0	0	0.032043	0.023288071
84	0	0	0.031673605	0.022647568
85	0	0	0.031528487	0.022178849
86	0	0	0.030053835	0.021522136
87	0	0	0.030218572	0.02075903
88	0	0	0.029543329	0.020183457
89	0	0	0.030184376	0.019628493
90	0	0	0.029348673	0.019180126
91	0	0	0.028841335	0.018462024
92	0	0	0.029090136	0.017337476
93	0	0	0.028558142	0.016637153
94	0	0	0.028996644	0.015929382
95	0	0	0.028757181	0.014344337
96	0	0	0.028144329	0.013447273
97	0	0	0.027416632	0.01300791
98	0	0	0.027870232	0.012515229
99	0	0	0.027072835	0.011772141
100	0	0	0.025756537	0.011094696
101	0	0	0.025758887	0.010534702
102	0	0	0.024478344	0.009723952
103	0	0	0.023951172	0.009723952
104	0	0	0.023276507	0.0084779
105	0	0	0.022390339	0.008176247
106	0	0	0.020233816	0.007638831
107	0	0	0.020060619	0.006547617
108	0	0	0.018582618	0.006371048
109	0	0	0.017925425	0.006371048
110	0	0	0.018048707	0.005679176
111	0	0	0.017355924	0.004666015
112	0	0	0.016902162	0.002698573
113	0	0	0.016268191	0.001307469
114	0	0	0.015101975	0.001307469
115	0	0	0.014611448	0.001107911
116	0	0	0.014014381	0.001107911
117	0	0	0.012689544	0.001013675
118	0	0	0.012424485	0.001013675
119	0	0	0.012001023	0.000711879
120	0	0	0.011860556	0.000711879
121	0	0	0.011777491	0.000711879
122	0	0	0.010541307	0.000711879
123	0	0	0.010344409	0.000711879
124	0	0	0.009226847	0.000711879
125	0	0	0.008361751	0
126	0	0	0.008280625	0
127	0	0	0.007650002	0
128	0	0	0.007486615	0
129	0	0	0.007046743	0
130	0	0	0.007041985	0
131	0	0	0.006497768	0
132	0	0	0.006206456	0
133	0	0	0.005446913	0
134	0	0	0.004671237	0
135	0	0	0.004671237	0
136	0	0	0.003790879	0
137	0	0	0.003536485	0
138	0	0	0.002842749	0
139	0	0	0.002227875	0
140	0	0	0.00177305	0
141	0	0	0.00177305	0
142	0	0	0.001753842	0
143	0	0	0.001753842	0
144	0	0	0.001354167	0
145	0	0	0.001378968	0
146	0	0	0.001378968	0
147	0	0	0.00047619	0
148	0	0	0	0
149	0	0	0	0
150	0	0	0	0
